2026-04-20T07:37:21.889660Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.889891Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890008Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890107Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890215Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890312Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
standalone | Starting Airflow Standalone
scheduler  | 2026-04-20T07:37:29.978168Z [info     ] Worker starting up pid=263574  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
dag-processor | 2026-04-20T07:37:30.391413Z [warning  ] This process (pid=263442) is multi-threaded, use of fork() may lead to deadlocks in the child. [py.warnings] category=DeprecationWarning filename=/workspaces/biomonitor-capstone/.venv/lib/python3.13/site-packages/airflow/sdk/execution_time/supervisor.py lineno=504
dag-processor | 2026-04-20T07:37:30.407609Z [info     ] checking for stale bundle versions locally [airflow.dag_processing.bundles.base] loc=base.py:223
dag-processor | 2026-04-20T07:37:30.408271Z [info     ] DAG bundles loaded: dags-folder [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:209
dag-processor | 2026-04-20T07:37:30.412468Z [info     ]
dag-processor | ================================================================================
dag-processor | DAG File Processing Stats
dag-processor | Bundle       File Path                  PID  Current Duration      # DAGs    # Errors  Last Duration    Last Run At
dag-processor | -----------  ----------------------  ------  ------------------  --------  ----------  ---------------  -------------
dag-processor | dags-folder  biomonitor_pipeline.py  263577  0.02s                      0           0
dag-processor | ================================================================================ [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:881
dag-processor | 2026-04-20T07:37:30.463727Z [info     ] Bulk-writing dags to db        [airflow.serialization.definitions.dag] count=1 loc=dag.py:197
dag-processor | 2026-04-20T07:37:30.477218Z [info     ] Creating ORM DAG for biomonitor_pipeline [airflow.dag_processing.collection] loc=collection.py:100
dag-processor | 2026-04-20T07:37:30.478661Z [info     ] get next_dagrun_info_v2        [airflow.serialization.definitions.dag] last_automated_run_info=None loc=dag.py:420 next_info=None
dag-processor | 2026-04-20T07:37:30.478839Z [info     ] setting next dagrun info       [airflow.models.dag] loc=dag.py:777 next_dagrun=None next_dagrun_create_after=None next_dagrun_data_interval_end=None next_dagrun_data_interval_start=None next_dagrun_partition_date=None next_dagrun_partition_key=None
standalone | Airflow is ready
standalone | Airflow Standalone is for development purposes only. Do not use this in production!
api-server | ____________       _____________
api-server | ____    |__( )_________  __/__  /________      __
api-server | ____  /| |_  /__  ___/_  /_ __  /_  __ \_ | /| / /
api-server | ___  ___ |  / _  /   _  __/ _  / / /_/ /_ |/ |/ /
api-server | _/_/  |_/_/  /_/    /_/    /_/  \____/____/|__/
api-server | Running the API server with uvicorn:
api-server | Apps: all
api-server | Workers: 1
api-server | Host: 0.0.0.0:8080
api-server | Timeout: 120
api-server | Logfiles: -
api-server | =================================================================
api-server | 2026-04-20T07:37:33.168930Z [info     ] Started server process [263441] [uvicorn.error] loc=server.py:92
api-server | 2026-04-20T07:37:33.169061Z [info     ] Waiting for application startup. [uvicorn.error] loc=on.py:48
api-server | 2026-04-20T07:37:33.170102Z [info     ] Application startup complete.  [uvicorn.error] loc=on.py:62
api-server | 2026-04-20T07:37:33.171537Z [info     ] Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit) [uvicorn.error] loc=server.py:224
dag-processor | 2026-04-20T07:37:34.491602Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
dag-processor | 2026-04-20T07:37:39.513077Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
dag-processor | 2026-04-20T07:37:44.578261Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
dag-processor | 2026-04-20T07:37:49.610022Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
dag-processor | 2026-04-20T07:37:54.735655Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
dag-processor | 2026-04-20T07:37:59.755179Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
dag-processor | 2026-04-20T07:38:00.606249Z [info     ]
dag-processor | ================================================================================
dag-processor | DAG File Processing Stats
dag-processor | Bundle       File Path               PID    Current Duration      # DAGs    # Errors  Last Duration    Last Run At
dag-processor | -----------  ----------------------  -----  ------------------  --------  ----------  ---------------  -------------------
dag-processor | dags-folder  biomonitor_pipeline.py                                    1           0  0.07s            2026-04-20T07:37:30
dag-processor | ================================================================================ [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:881
dag-processor | 2026-04-20T07:38:00.645185Z [info     ] Bulk-writing dags to db        [airflow.serialization.definitions.dag] count=1 loc=dag.py:197
dag-processor | 2026-04-20T07:38:00.648168Z [info     ] get next_dagrun_info_v2        [airflow.serialization.definitions.dag] last_automated_run_info=None loc=dag.py:420 next_info=None
dag-processor | 2026-04-20T07:38:00.648362Z [info     ] setting next dagrun info       [airflow.models.dag] loc=dag.py:777 next_dagrun=None next_dagrun_create_after=None next_dagrun_data_interval_end=None next_dagrun_data_interval_start=None next_dagrun_partition_date=None next_dagrun_partition_key=None
dag-processor | 2026-04-20T07:38:05.662179Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:38:05.950873Z [warning  ] The HMAC key is 24 bytes long, which is below the minimum recommended length of 64 bytes for SHA512. See RFC 7518 Section 3.2. [py.warnings] category=InsecureKeyLengthWarning filename=/workspaces/biomonitor-capstone/.venv/lib/python3.13/site-packages/jwt/api_jwt.py lineno=365
api-server | 2026-04-20T07:38:05.958529Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=11580 loc=http_access_log.py:98 method=GET path=/ query= status_code=200
api-server | 2026-04-20T07:38:05.996829Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=2156 loc=http_access_log.py:98 method=GET path=/static/assets/index-Dq8MzZ6d.js query= status_code=304
api-server | 2026-04-20T07:38:06.288244Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=7297 loc=http_access_log.py:98 method=GET path=/ui/config query= status_code=200
api-server | 2026-04-20T07:38:06.323528Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=2600 loc=http_access_log.py:98 method=GET path=/static/i18n/locales/en/assets.json query= status_code=304
api-server | 2026-04-20T07:38:06.363415Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=2656 loc=http_access_log.py:98 method=GET path=/static/i18n/locales/en/components.json query= status_code=304
api-server | 2026-04-20T07:38:06.380075Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=1899 loc=http_access_log.py:98 method=GET path=/static/i18n/locales/en/common.json query= status_code=304
api-server | 2026-04-20T07:38:06.391073Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=1849 loc=http_access_log.py:98 method=GET path=/static/i18n/locales/en/dashboard.json query= status_code=304
api-server | 2026-04-20T07:38:06.398387Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=3940 loc=http_access_log.py:98 method=GET path=/static/i18n/locales/en/hitl.json query= status_code=304
api-server | 2026-04-20T07:38:06.410251Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49722 duration_us=7486 loc=http_access_log.py:98 method=GET path=/static/i18n/locales/en/dags.json query= status_code=304
api-server | 2026-04-20T07:38:06.411839Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=6821 loc=http_access_log.py:98 method=GET path=/static/i18n/locales/en/browse.json query= status_code=304
api-server | 2026-04-20T07:38:06.412246Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=3623 loc=http_access_log.py:98 method=GET path=/static/i18n/locales/en/admin.json query= status_code=304
api-server | 2026-04-20T07:38:06.416305Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=2225 loc=http_access_log.py:98 method=GET path=/static/i18n/locales/en/dag.json query= status_code=304
api-server | 2026-04-20T07:38:06.427518Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=2661 loc=http_access_log.py:98 method=GET path=/ui/auth/menus query= status_code=200
api-server | 2026-04-20T07:38:06.432488Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=1828 loc=http_access_log.py:98 method=GET path=/ui/auth/me query= status_code=200
api-server | 2026-04-20T07:38:06.472937Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49722 duration_us=30317 loc=http_access_log.py:98 method=GET path=/api/v2/version query= status_code=200
api-server | 2026-04-20T07:38:06.475065Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=7129 loc=http_access_log.py:98 method=GET path=/api/v2/plugins/importErrors query= status_code=200
api-server | 2026-04-20T07:38:06.479386Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=30063 loc=http_access_log.py:98 method=GET path=/api/v2/plugins query= status_code=200
api-server | 2026-04-20T07:38:06.495373Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=31109 loc=http_access_log.py:98 method=GET path=/api/v2/importErrors query='limit=1' status_code=200
api-server | 2026-04-20T07:38:06.555236Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=97838 loc=http_access_log.py:98 method=GET path=/api/v2/dags/~/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:38:06.566064Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=114673 loc=http_access_log.py:98 method=GET path=/api/v2/dags/~/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:38:06.585685Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49722 duration_us=76469 loc=http_access_log.py:98 method=GET path=/ui/dashboard/dag_stats query= status_code=200
api-server | 2026-04-20T07:38:06.586730Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=56881 loc=http_access_log.py:98 method=GET path=/api/v2/pools query= status_code=200
api-server | 2026-04-20T07:38:06.613768Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=30589 loc=http_access_log.py:98 method=GET path=/ui/dashboard/historical_metrics_data query='start_date=2026-04-19T07%3A38%3A06.215Z' status_code=200
api-server | 2026-04-20T07:38:06.634794Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=33367 loc=http_access_log.py:98 method=GET path=/api/v2/assets/events query='limit=6&order_by=-timestamp&timestamp_gte=2026-04-19T07%3A38%3A06.215Z&timestamp_lte=2026-04-20T07%3A38%3A06.215Z' status_code=200
api-server | 2026-04-20T07:38:06.636065Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=114333 loc=http_access_log.py:98 method=GET path=/ui/dags query='limit=10&is_favorite=true' status_code=200
api-server | 2026-04-20T07:38:08.434663Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=12544 loc=http_access_log.py:98 method=GET path=/api/v2/dagTags query='limit=10&offset=0&order_by=name&tag_name_pattern=' status_code=200
api-server | 2026-04-20T07:38:08.444822Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=20793 loc=http_access_log.py:98 method=GET path=/ui/dags query='dag_runs_limit=14&limit=50&offset=0&tags_match_mode=any&exclude_stale=true&order_by=dag_display_name' status_code=200
dag-processor | 2026-04-20T07:38:10.680559Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:38:10.906217Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=17790 loc=http_access_log.py:98 method=PATCH path=/api/v2/dags/biomonitor_pipeline query= status_code=200
api-server | 2026-04-20T07:38:10.956856Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=14107 loc=http_access_log.py:98 method=GET path=/ui/dags query='dag_runs_limit=14&limit=50&offset=0&tags_match_mode=any&exclude_stale=true&order_by=dag_display_name' status_code=200
api-server | 2026-04-20T07:38:12.570368Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=14912 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline query= status_code=200
api-server | 2026-04-20T07:38:12.665838Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=29644 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
dag-processor | 2026-04-20T07:38:15.700594Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:38:16.988888Z [info     ] creating dag run               [airflow.serialization.definitions.dag] loc=dag.py:526 logical_date=DateTime(2026, 4, 20, 7, 38, 12, tzinfo=Timezone('UTC')) partition_key=None run_after=datetime.datetime(2026, 4, 20, 7, 38, 16, 986113, tzinfo=Timezone('UTC')) run_id=manual__2026-04-20T07:38:16.986113+00:00
api-server | 2026-04-20T07:38:17.362369Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=382306 loc=http_access_log.py:98 method=POST path=/api/v2/dags/biomonitor_pipeline/dagRuns query= status_code=200
api-server | 2026-04-20T07:38:17.413323Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=10884 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
